file	size_bytes	status	baseline_min_ms	baseline_median_ms	baseline_mean_ms	baseline_max_ms	tested_min_ms	tested_median_ms	tested_mean_ms	tested_max_ms	ratio_baseline_over_tested	baseline_error	tested_error
cpython-3.8/Lib/encodings/cp1251.py	13361	ok	18.192846	19.665518	19.876192	21.720817	0.412733	0.588465	1.030511	2.650112	33.418318		
cpython-3.8/Lib/encodings/cp1252.py	13511	ok	18.267131	19.475589	19.577858	20.819830	0.539885	0.913582	0.956539	2.028223	21.317842		
cpython-3.8/Lib/encodings/cp1253.py	13094	ok	17.821716	19.417191	19.459356	21.269632	0.391351	0.533857	0.723998	1.379558	36.371546		
cpython-3.8/Lib/encodings/cp1254.py	13502	ok	19.308161	19.751185	19.943250	20.849169	0.332226	0.378591	0.499508	0.900252	52.170210		
cpython-3.8/Lib/encodings/cp1255.py	12466	ok	18.482206	19.133231	19.398198	20.646523	0.387969	1.033849	1.047532	2.779551	18.506791		
cpython-3.8/Lib/encodings/cp1256.py	12814	ok	17.819473	19.777666	19.571560	20.943061	0.393296	0.521917	0.737500	2.046827	37.894289		
cpython-3.8/Lib/encodings/cp1257.py	13374	ok	17.621765	19.136801	19.326845	21.513738	0.377673	0.611651	0.729768	1.274108	31.287117		
cpython-3.8/Lib/encodings/cp1258.py	13364	ok	18.503888	19.104211	19.439568	21.227052	0.382468	0.434924	0.506429	1.109370	43.925431		
cpython-3.8/Lib/encodings/cp273.py	14132	ok	17.760685	19.854557	19.655453	21.524910	0.468325	0.981428	1.087328	3.048489	20.230266		
cpython-3.8/Lib/encodings/cp424.py	12055	ok	17.917489	20.313571	20.037599	21.823776	0.372680	0.564774	0.679839	1.108495	35.967621		
cpython-3.8/Lib/encodings/cp437.py	34564	ok	18.677767	20.521549	20.199867	21.739818	0.519052	0.575240	0.643441	1.167576	35.674784		
cpython-3.8/Lib/encodings/cp500.py	13121	ok	17.801278	19.920928	19.697426	21.319966	0.518280	1.027895	1.078203	2.941688	19.380307		
cpython-3.8/Lib/encodings/cp720.py	13686	ok	17.790321	19.868065	19.602535	20.967134	0.422593	0.497517	0.825161	2.820215	39.934453		
cpython-3.8/Lib/encodings/cp737.py	34681	ok	18.726281	20.726037	20.385273	22.172698	0.493131	0.583730	0.720657	1.353787	35.506197		
cpython-3.8/Lib/encodings/cp775.py	34476	ok	19.789090	20.570407	20.413011	20.948410	0.543482	0.917506	0.947912	1.602520	22.419919		
cpython-3.8/Lib/encodings/cp850.py	34105	ok	19.667655	20.399392	20.258970	20.739973	0.503596	0.667311	0.800779	1.349520	30.569534		
